Hora,Precio
1670119200,175.0
1670122800,170.95
1670126400,168.0
1670130000,168.0
1670133600,176.36
1670137200,176.51
1670140800,176.72
1670144400,184.01
1670148000,180.76
1670151600,176.51
1670155200,171.8
1670158800,175.0
1670162400,176.36
1670166000,176.36
1670169600,187.9
1670173200,210.28
1670176800,237.0
1670180400,256.0
1670184000,256.68
1670187600,222.04
1670191200,196.41
1670194800,180.76
1670198400,220.69
1670202000,175.4
1670205600,161.4
1670209200,159.98
1670212800,157.0
1670216400,159.97
1670220000,162.17
1670223600,220.06
1670227200,225.01
1670230800,226.14
1670234400,222.44
1670238000,221.61
1670241600,215.0
1670245200,217.6
1670248800,221.71
1670252400,214.9
1670256000,215.01
1670259600,221.61
1670263200,237.2
1670266800,240.95
1670270400,245.58
1670274000,241.37
1670277600,226.55
1670281200,213.74
1670284800,156.51
1670288400,153.12
1670292000,148.21
1670295600,148.21
1670299200,148.75
1670302800,153.22
1670306400,148.21
1670310000,131.3
1670313600,132.0
1670317200,142.11
1670320800,148.82
1670324400,148.32
1670328000,150.01
1670331600,154.27
1670335200,153.38
1670338800,148.21
1670342400,154.27
1670346000,148.21
1670349600,164.0
1670353200,182.75
1670356800,194.83
1670360400,182.75
1670364000,156.51
1670367600,134.7
1670371200,142.34
1670374800,136.23
1670378400,136.23
1670382000,134.99
1670385600,134.7
1670389200,135.6
1670392800,136.23
1670396400,139.17
1670400000,150.07
1670403600,156.85
1670407200,156.17
1670410800,145.69
1670414400,145.08
1670418000,142.34
1670421600,139.48
1670425200,137.63
1670428800,136.0
1670432400,143.0
1670436000,156.17
1670439600,156.17
1670443200,145.69
1670446800,136.23
1670450400,137.01
1670454000,136.23
1670457600,125.01
1670461200,109.0
1670464800,105.6
1670468400,104.79
1670472000,102.6
1670475600,102.5
1670479200,104.7
1670482800,110.0
1670486400,110.0
1670490000,118.47
1670493600,119.05
1670497200,119.05
1670500800,119.05
1670504400,120.07
1670508000,119.05
1670511600,110.71
1670515200,119.05
1670518800,135.93
1670522400,151.84
1670526000,165.0
1670529600,166.44
1670533200,152.0
1670536800,136.65
1670540400,110.71
1670544000,118.1
1670547600,115.17
1670551200,112.0
1670554800,110.0
1670558400,113.0
1670562000,117.0
1670565600,120.4
1670569200,166.84
1670572800,169.84
1670576400,164.0
1670580000,156.0
1670583600,155.3
1670587200,145.0
1670590800,148.87
1670594400,154.0
1670598000,158.5
1670601600,159.0
1670605200,164.0
1670608800,167.42
1670612400,170.42
1670616000,166.84
1670619600,159.0
1670623200,135.0
1670626800,119.62
1670630400,115.3
1670634000,111.9
1670637600,100.17
1670641200,86.0
1670644800,82.0
1670648400,82.62
1670652000,100.1
1670655600,110.0
1670659200,114.7
1670662800,118.47
1670666400,116.3
1670670000,116.3
1670673600,114.7
1670677200,114.33
1670680800,113.0
1670684400,112.8
1670688000,113.3
1670691600,130.07
1670695200,156.94
1670698800,176.5
1670702400,187.0
1670706000,185.38
1670709600,179.92
1670713200,162.65
1670716800,172.91
1670720400,142.32
1670724000,118.47
1670727600,114.6
1670731200,114.6
1670734800,116.0
1670738400,119.05
1670742000,119.62
1670745600,135.0
1670749200,155.0
1670752800,156.47
1670756400,153.87
1670760000,143.0
1670763600,148.17
1670767200,152.02
1670770800,141.02
1670774400,148.17
1670778000,156.97
1670781600,173.92
1670785200,176.8
1670788800,181.07
1670792400,175.48
1670796000,160.02
1670799600,140.24
1670803200,116.3
1670806800,96.2
1670810400,96.98
1670814000,94.9
1670817600,92.2
1670821200,94.9
1670824800,113.33
1670828400,134.0
1670832000,147.34
1670835600,148.92
1670839200,135.0
1670842800,119.62
1670846400,115.0
1670850000,96.99
1670853600,95.6
1670857200,94.9
1670860800,100.0
1670864400,116.3
1670868000,126.72
1670871600,135.07
1670875200,141.0
1670878800,130.02
1670882400,117.32
1670886000,89.6
1670889600,4.11
1670893200,4.11
1670896800,4.11
1670900400,4.11
1670904000,4.11
1670907600,4.11
1670911200,75.83
1670914800,96.2
1670918400,131.01
1670922000,139.92
1670925600,139.5
1670929200,135.05
1670932800,140.0
1670936400,142.0
1670940000,140.13
1670943600,147.0
1670947200,146.08
1670950800,139.92
1670954400,140.03
1670958000,142.0
1670961600,146.08
1670965200,134.45
1670968800,99.0
1670972400,85.6
1670976000,5.0
1670979600,4.11
1670983200,4.11
1670986800,1.8
1670990400,4.11
1670994000,4.11
1670997600,4.11
1671001200,68.9
1671004800,81.2
1671008400,90.0
1671012000,85.1
1671015600,87.0
1671019200,87.0
1671022800,87.7
1671026400,90.15
1671030000,100.0
1671033600,113.6
1671037200,137.45
1671040800,165.02
1671044400,190.72
1671048000,192.69
1671051600,155.01
1671055200,112.92
1671058800,81.39
1671062400,121.24
1671066000,89.1
1671069600,82.98
1671073200,81.8
1671076800,81.8
1671080400,89.1
1671084000,127.97
1671087600,168.34
1671091200,150.0
1671094800,141.07
1671098400,135.92
1671102000,131.08
1671105600,131.33
1671109200,130.5
1671112800,130.5
1671116400,133.92
1671120000,135.73
1671123600,151.0
1671127200,161.0
1671130800,190.72
1671134400,181.0
1671138000,146.94
1671141600,130.5
1671145200,127.97
1671148800,130.0
1671152400,122.74
